vertex angle,acceptance,stat_err
3.025,0.000384037,0.00019238
3.075,0.000613402,0.000251013
3.125,0.00031973,0.000185197
3.175,0.000561803,0.000251414
3.225,0.000577847,0.00025934
3.275,0.00108955,0.000364352
3.325,0.00126852,0.000401879
3.375,0.00173781,0.000482035
3.425,0.00148677,0.000449129
3.475,0.00215788,0.000558081
3.525,0.00332066,0.000709415
3.575,0.00509456,0.000900314
3.625,0.00679525,0.00106044
3.675,0.00641417,0.00105503
3.725,0.00946688,0.00131213
3.775,0.0155447,0.00169853
3.825,0.0242613,0.00217682
3.875,0.0329476,0.00259357
3.925,0.0455075,0.00304344
3.975,0.061823,0.00359042
4.025,0.0763176,0.00399054
4.075,0.109363,0.0048495
4.125,0.127736,0.00525444
4.175,0.148458,0.00567787
4.225,0.188226,0.00630576
4.275,0.199054,0.00656187
4.325,0.23979,0.00716126
4.375,0.257559,0.00747914
4.425,0.295491,0.00806834
4.475,0.325705,0.00839971
4.525,0.324782,0.00862656
4.575,0.356455,0.00884887
4.625,0.358529,0.00907302
4.675,0.387837,0.00916289
4.725,0.387437,0.00934484
4.775,0.384259,0.00948213
4.825,0.365516,0.00943063
4.875,0.383885,0.00961267
4.925,0.372885,0.00969909
4.975,0.366965,0.00975439
5.025,0.360863,0.0101204
5.075,0.34694,0.010363
5.125,0.341849,0.0101762
5.175,0.347806,0.0105956
5.225,0.362611,0.0105268
5.275,0.358096,0.0109108
5.325,0.330352,0.0107909
5.375,0.330714,0.0107913
5.425,0.333689,0.0113863
5.475,0.311953,0.0109177
5.525,0.321837,0.0112359
5.575,0.317593,0.0115995
5.625,0.31169,0.011477
5.675,0.292989,0.0114108
5.725,0.276927,0.0115512
5.775,0.262796,0.0113551
5.825,0.233384,0.0112926
5.875,0.219208,0.0109442
5.925,0.190785,0.0106789
5.975,0.173274,0.010242
6.025,0.170818,0.0107746
6.075,0.11699,0.00901623
6.125,0.106815,0.00896539
6.175,0.0672489,0.00734785
6.225,0.0553834,0.00681642
6.275,0.0419562,0.00595424
6.325,0.0314342,0.00541862
6.375,0.0207993,0.00441035
6.425,0.0121779,0.00337804
6.475,0.0131339,0.00362748
6.525,0.00828351,0.00276171
6.575,0.00792916,0.00281045
6.625,0.0053391,0.00239072
6.675,0.00200507,0.00142021
6.725,0.00209781,0.00149001
6.775,0.00315996,0.0018346
6.825,0.0011238,0.00113918
6.875,0,0
6.925,0.00126352,0.00125829
6.975,0,0
7.025,0,0
7.075,0,0
7.125,0.0012798,0.00130015
7.175,0,0
7.225,0,0
7.275,0,0
7.325,0,0
7.375,0.00146233,0.0014671
7.425,0,0
7.475,0,0
7.525,0,0
7.575,0,0
7.625,0,0
7.675,0,0
7.725,0,0
7.775,0,0
7.825,0,0
7.875,0,0
7.925,0,0
7.975,0,0
